Names, Units, Usually Offered In: , Additional Information 
ID 111. Design Graphics III,Units: 3,Fall / Spring,
ID 112. Design Studio III,Units: 4,Fall / Spring,
"ID 113. Design History,  Theory & Criticism II",Units: 3,Fall,
ID 116. Design Graphics IV,Units: 3,Fall / Spring,
ID 120. Design History/Theory & Tours III,Units: 3,Fall,
ID 130. Lighting Design,Units: 2,Fall / Spring,
ID 131. Design Materials & Specifications,Units: 3,Fall / Spring,
ID 132T. Topics in Interior Design,Units: 1-4,,Repeatable up to 12 units
ID 133. Professional Practices,Units: 2,Spring,
ID 134. Restoration and Preservation,Units: 3,,
ID 136. Design Studio IV: Furniture/Product Design,Units: 3,Spring,
ID 137. Interior Architectural Graphics and Models,Units: 3,Spring,
ID 138. Design Studio V,Units: 4,Fall / Spring,
ID 145. Design Studio VI-c: Human/Environmental Topics,Units: 4,Spring,
ID 149S. Design Studio VII: Advanced Design,Units: 4,Fall,
ID 150. Senior Thesis Exhibits,Units: 2,Spring,
ID 152IE. Design Practicum & Entrepreneurship,Units: 3,Fall / Spring,Repeatable up to 6 units
ID 155. Design Studio VIII: Senior Thesis,Units: 4,Spring,
ID 190. Independent Study,Units: 1-3,Fall / Spring,Repeatable up to 6 units
